destination_id,month,temperature_mean,temperature_max_avg,temperature_min_avg,precipitation_daily_avg,sunshine_hours_avg,wind_speed_max_avg,precipitation_monthly_avg,rainy_days_avg
IPC,8,17.31642228739003,18.178592375366566,16.47741935483871,2.6428152492668624,9.289506565656566,30.50909090909091,81.92727272727274,13.090909090909092
IPC,9,17.037575757575755,17.965151515151515,16.187878787878788,1.8384848484848486,10.007779511784511,28.024545454545457,55.154545454545456,11.0
IPC,10,17.656891495601172,18.570967741935483,16.826392961876834,2.1947214076246335,10.391928991528186,26.782697947214075,68.03636363636363,13.0
IPC,11,18.88090909090909,19.819393939393937,18.043333333333333,2.313030303030303,11.513366574074075,25.261515151515148,69.39090909090909,11.909090909090908
IPC,12,20.203812316715542,21.13284457478006,19.33607038123167,1.8577712609970674,12.405431687846203,24.414076246334314,57.59090909090909,13.909090909090908
MAD,1,5.263049853372435,10.367155425219941,1.380058651026393,1.264516129032258,6.872469648093841,15.308211143695015,39.199999999999996,6.454545454545454
MAD,2,7.584565916398715,13.34790996784566,2.8090032154340836,0.8610932475884244,8.408669337263309,16.306109324758843,24.345454545454547,5.0
MAD,3,9.951612903225806,15.714369501466276,4.829912023460411,2.402639296187683,8.897476458129685,19.100879765395895,74.48181818181818,10.0
MAD,4,13.14030303030303,19.00272727272727,7.549090909090909,2.0921212121212123,10.754469747474747,17.764545454545456,62.76363636363636,9.181818181818182
MAD,5,17.99266862170088,24.330205278592377,11.623753665689149,1.2495601173020527,12.625190640273704,18.1950146627566,38.73636363636364,6.636363636363637
MAD,6,23.528787878787877,29.87,16.726666666666667,0.6915151515151515,13.302204865319865,17.906060606060606,20.745454545454546,4.181818181818182
MAD,7,27.692961876832843,34.37565982404692,20.2366568914956,0.19501466275659823,13.922969965786901,18.858944281524927,6.045454545454546,0.9090909090909091
MAD,8,27.01466275659824,33.54780058651026,19.95131964809384,0.36363636363636365,12.673864825676118,17.583870967741937,11.272727272727273,1.5454545454545454
MAD,9,20.912727272727274,26.954848484848487,15.012424242424244,1.6045454545454545,11.026296767676769,15.897878787878788,48.13636363636363,4.818181818181818
MAD,10,16.06891495601173,21.65307917888563,11.089442815249267,2.0090909090909093,8.637440118931249,15.503812316715543,62.28181818181818,7.7272727272727275
MAD,11,9.665757575757576,14.424545454545456,5.888181818181818,1.6893939393939394,7.272842028619529,15.243939393939394,50.68181818181818,7.818181818181818
MAD,12,6.814369501466275,11.376539589442816,3.262756598240469,1.3653958944281523,6.332003022157054,13.845454545454546,42.32727272727272,6.636363636363637
MRU,1,23.016422287390032,25.78973607038123,20.926979472140765,9.309970674486802,10.680798248615185,21.905571847507332,288.60909090909087,26.181818181818183
MRU,2,23.02282958199357,25.714790996784565,21.02347266881029,8.056270096463022,10.861495337620578,21.544372990353697,227.77272727272728,25.272727272727273
MRU,3,22.94340175953079,25.68093841642229,20.934310850439882,5.753372434017596,10.231594827305312,21.307624633431082,178.35454545454544,24.545454545454547
MRU,4,22.092424242424244,24.707272727272727,20.26969696969697,4.957575757575758,9.884494831649832,21.905151515151516,148.72727272727272,22.90909090909091
MRU,5,20.212023460410556,22.82434017595308,18.358357771260998,3.0912023460410554,9.751407241772565,23.119354838709675,95.82727272727271,18.636363636363637
MRU,6,18.554242424242425,20.971818181818183,16.816363636363636,2.996969696969697,9.501433771043772,25.961212121212125,89.9090909090909,18.363636363636363
MRU,7,17.65483870967742,20.131378299120236,15.84516129032258,3.0791788856304985,9.752268328445748,25.953372434017595,95.45454545454545,20.272727272727273
MRU,8,17.69266862170088,20.483577712609968,15.624046920821115,2.6272727272727274,10.402237960247637,25.04017595307918,81.44545454545454,16.272727272727273
