destination_id,month,temperature_mean,temperature_max_avg,temperature_min_avg,precipitation_daily_avg,sunshine_hours_avg,wind_speed_max_avg,precipitation_monthly_avg,rainy_days_avg,pleasant_temperature,temperature_distance,temperature_score,rain_score,sunshine_score,wind_score
BKK,11,27.18121212121212,31.204242424242423,23.792727272727276,2.665454545454545,9.696182382154882,12.370909090909093,79.96363636363637,10.818181818181818,True,2.18121212121212,78.1878787878788,73.34545454545454,80.80151985129068,88.14545454545454
BKK,12,26.68533724340176,31.144868035190616,22.590615835777125,0.5956011730205278,10.167506793743891,12.540175953079178,18.463636363636365,3.727272727272727,True,1.6853372434017615,83.14662756598239,93.84545454545454,84.7292232811991,87.29912023460412
IPC,1,21.58357771260997,22.454545454545453,20.716129032258063,2.250733137829912,12.121120153144348,23.913196480938414,69.77272727272727,12.727272727272728,True,3.4164222873900307,65.83577712609969,76.74242424242425,100.0,30.43401759530792
IPC,2,22.33408360128617,23.236334405144696,21.456591639871384,2.459807073954984,11.907322320471597,23.5032154340836,69.54545454545455,12.818181818181818,True,2.6659163987138292,73.34083601286171,76.81818181818181,99.22768600392997,32.483922829582
IPC,3,22.17038123167156,22.99824046920821,21.37008797653959,2.231671554252199,10.950874006190942,25.253079178885628,69.18181818181819,12.545454545454543,True,2.829618768328441,71.70381231671558,76.93939393939394,91.25728338492452,23.73460410557186
IPC,4,21.222727272727276,22.05030303030303,20.42848484848485,3.110606060606061,9.738635395622897,27.68575757575757,93.3181818181818,13.727272727272728,True,3.777272727272724,62.22727272727276,68.8939393939394,81.15529496352414,11.571212121212142
IPC,5,19.778592375366568,20.63988269794721,19.011143695014663,3.450439882697947,8.582430702183121,30.541055718475075,106.96363636363638,12.909090909090908,True,5.221407624633432,47.785923753665685,64.34545454545454,71.520255851526,0.0
IPC,6,18.418484848484848,19.22030303030303,17.661515151515154,2.3203030303030303,8.528089276094276,31.24878787878788,69.60909090909091,10.272727272727272,True,6.581515151515152,34.18484848484849,76.7969696969697,71.06741063411897,0.0
IPC,7,17.572140762463345,18.416129032258063,16.794721407624632,2.0137829912023464,8.551223525578363,29.371554252199417,62.42727272727273,11.545454545454543,False,7.427859237536655,25.721407624633457,79.19090909090909,71.26019604648636,3.142228739002917
IPC,8,17.31642228739003,18.178592375366566,16.47741935483871,2.6428152492668624,9.289506565656566,30.50909090909091,81.92727272727274,13.090909090909092,False,7.683577712609971,23.1642228739003,72.69090909090909,77.41255471380471,0.0
IPC,9,17.037575757575755,17.965151515151515,16.187878787878788,1.8384848484848488,10.007779511784513,28.024545454545457,55.154545454545456,11.0,False,7.962424242424245,20.37575757575756,81.61515151515152,83.39816259820427,9.877272727272711
IPC,10,17.656891495601172,18.570967741935483,16.826392961876834,2.194721407624633,10.391928991528186,26.782697947214075,68.03636363636363,13.0,False,7.343108504398828,26.568914956011724,77.32121212121213,86.59940826273488,16.086510263929625
